"id","year","rosenberg","rosenberg_inp","dum_35_inp","dum_40_inp","dum_45_inp"
800775,2019,69,69,0,0,0
800775,2020,70,70,0,0,0
800775,2021,69,69,0,0,0
800775,2022,60,60,0,0,0
800778,2012,64,64,0,0,0
800778,2013,68,68,0,0,0
800778,2014,60,60,0,0,0
800778,2015,NA,60,0,0,0
800778,2016,NA,60,0,0,0
800778,2017,67,67,0,0,0
800778,2018,NA,67,0,0,0
800778,2019,67,67,0,0,0
800778,2020,66,66,0,0,0
800778,2021,68,68,0,0,0
800778,2022,67,67,0,0,0
800789,2022,69,69,0,0,0
800790,2008,58,58,0,0,0
800790,2009,54,54,0,0,0
800790,2010,NA,54,0,0,0
800790,2011,63,63,0,0,0
800790,2012,NA,63,0,0,0
800796,2009,60,60,0,0,0
800796,2010,NA,60,0,0,0
800799,2008,37,37,0,1,1
800827,2014,67,67,0,0,0
800829,2022,50,50,0,0,0
800830,2008,70,70,0,0,0
800842,2014,40,40,0,1,1
800848,2010,65,65,0,0,0
800848,2011,60,60,0,0,0
800848,2012,NA,60,0,0,0
800848,2013,59,59,0,0,0
800848,2014,60,60,0,0,0
800848,2015,NA,60,0,0,0
800848,2016,NA,60,0,0,0
800848,2017,54,54,0,0,0
800848,2018,NA,54,0,0,0
800848,2019,56,56,0,0,0
800848,2020,60,60,0,0,0
800848,2021,59,59,0,0,0
800848,2022,58,58,0,0,0
800851,2012,59,59,0,0,0
800851,2013,41,41,0,0,1
800851,2014,43,43,0,0,1
800851,2015,NA,43,0,0,1
800851,2016,NA,43,0,0,1
800859,2020,55,55,0,0,0
800859,2021,45,45,0,0,1
800860,2008,65,65,0,0,0
800869,2008,57,57,0,0,0
800869,2009,56,56,0,0,0
800869,2010,NA,56,0,0,0
800869,2011,49,49,0,0,0
800869,2012,NA,49,0,0,0
800869,2013,58,58,0,0,0
800869,2014,56,56,0,0,0
800869,2015,NA,56,0,0,0
800869,2016,NA,56,0,0,0
800869,2017,60,60,0,0,0
800869,2018,NA,60,0,0,0
800869,2019,58,58,0,0,0
800869,2020,60,60,0,0,0
800869,2021,60,60,0,0,0
800869,2022,60,60,0,0,0
800881,2008,54,54,0,0,0
800881,2009,55,55,0,0,0
800881,2010,NA,55,0,0,0
800881,2011,61,61,0,0,0
800881,2012,NA,61,0,0,0
800881,2013,62,62,0,0,0
800881,2014,60,60,0,0,0
800881,2015,NA,60,0,0,0
800881,2016,NA,60,0,0,0
800881,2017,60,60,0,0,0
800881,2018,NA,60,0,0,0
800881,2019,59,59,0,0,0
800881,2020,60,60,0,0,0
800881,2021,63,63,0,0,0
800881,2022,57,57,0,0,0
800894,2008,42,42,0,0,1
800894,2009,NA,42,0,0,1
800894,2010,NA,42,0,0,1
800894,2011,41,41,0,0,1
800894,2012,NA,41,0,0,1
800894,2013,41,41,0,0,1
800894,2014,43,43,0,0,1
800894,2015,NA,43,0,0,1
800894,2016,NA,43,0,0,1
800894,2017,42,42,0,0,1
800894,2018,NA,42,0,0,1
800894,2019,41,41,0,0,1
800894,2020,39,39,0,1,1
800894,2021,42,42,0,0,1
800894,2022,40,40,0,1,1
800897,2008,67,67,0,0,0
800900,2012,32,32,1,1,1
800900,2013,NA,32,1,1,1
800900,2014,NA,32,1,1,1
800900,2015,54,54,0,0,0
800900,2016,NA,54,0,0,0
800900,2017,58,58,0,0,0
800900,2018,NA,58,0,0,0
800900,2019,64,64,0,0,0
800900,2020,53,53,0,0,0
800903,2008,43,43,0,0,1
800903,2009,35,35,1,1,1
800903,2010,NA,35,1,1,1
800903,2011,42,42,0,0,1
800903,2012,NA,42,0,0,1
800903,2013,45,45,0,0,1
800903,2014,34,34,1,1,1
800903,2015,NA,34,1,1,1
